"id","daysInactive","daysInactiveAvg","daysInactiveSD","activeSince","visits","clicks","sales","revenue","productCategories","productViews","timeOfDay","timeOfDaySD","weekdayPercent","duration","clicksClothing","clicksShoes","clicksElectronics","clicksWatches","clicksBooks","clicksMovies","clicksMusic","clicksJewelry","clicksKitchen","clicksHome","clicksGarden","clicksPet","clicksFood","clicksHealth","clicksToys","clicksTools","clicksAutomotive","clicksOutdoors","clicksHandmade","clicksSports","clicksScience","clicksIndustrial","churn"
137676,22,0,0,23,2,2,0,0,1,1,15,7.071068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
110172,8,12,0,20,2,3,0,0,1,1,17,7.071068,0.5,0.033333335,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
107558,10,18,0,28,2,2,0,0,1,1,14.5,6.363961,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
122966,8,1,0,11,3,8,0,0,1,2,14.666667,4.618802,0.66666666,5.427778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1
108572,12,1,0,14,2,5,0,0,1,1,14.5,2.1213202,1,7.008333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0
132600,12,73,0,85,2,2,0,0,1,1,15.5,3.535534,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
132823,4,12,12.42118,90,8,13,0,0,1,1.5,13.125,2.4164615,0.875,3.06875,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,4,0,0,0,0,0,0,0
102537,30,0,0,31,3,3,0,0,1,1,12.333333,9.291574,0.66666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
121820,6,0.5,0.5,8,3,9,0,0,1,1.3333334,11.333333,8.962887,0.3333333,3.7222223,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1
105447,27,1,0,29,2,2,0,0,1,1,20.5,0.70710677,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
127254,14,5,5,24,3,13,0,0,1.3333334,4.3333335,12.333333,1.1547005,1,7.172222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,1
137689,20,4.5,3.1622777,62,9,35,0,0,1.2222222,2.4444444,15.222222,5.4492607,0.66666666,4.016667,0,0,0,0,0,0,0,0,0,0,0,0,0,32,3,0,0,0,0,0,0,0,1
109700,21,0.5,0.5,23,3,5,0,0,1,1.6666666,17.333334,4.932883,0,2.8888888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1
